titulo,autor,ano,status,busca
My Funny Valentine,Richard Rodgers / Lorenz Hart,1937,1,completa
My Heart Stood Still,Richard Rodgers / Lorenz Hart,1927,1,completa
My Ideal,Richard A. Whiting / Newell Chase /Leo Robin,1930,1,completa
My Little Suede Shoes,,,1,titulo
My Man’s Gone Now,George Gershwin / DuBose Heyward,1935,1,completa
My Melancholy Baby,Ernie Burnett / George A. Norton,1912,1,completa
My One and Only Love,Guy Wood / Robert Mellin,1952,1,completa
My Romance,Lorenz Hart / Richard Rodgers,1935,1,completa
My Shining Hour,Harold Arlen / Johnny Mercer,1943,1,completa
My Ship,Kurt Weill / Ira Gershwin,1941,1,completa
My Way,Claude François / Gilles Thibaut / Jacques Revaux / Paul Anka,1969,1,completa
My Window Faces The South,A. Silver / M. Parish / J. Livingstone,1933,1,completa
Naima,John Coltrane,1959,1,completa
Namely You,Gene DePaul / Johnny Mercer,1956,1,completa
Nancy (with the Laughing Face),Jimmy Van Heusen / Phil Silvers,1942,1,completa
Nardis,Miles Davis,1958,1,completa
Nature Boy,Eden Ahbez,1948,1,completa
Nearness,Bob Gillis,,1,completa
Nefertiti,,,0,
"New York, New York",John Kander / Fred Ebb,1977,1,completa
Nica’s Dream,Horace Silver,1954,1,completa
Nice Work If You Can Get It,,,1,titulo
Night and day,Cole Porter,1932,1,completa
No Moon at All,,,1,titulo
No More Blues,Antonio Carlos Jobim / Jon Hendricks / Jessie Cavanaugh / Vinicius DeMoraes,1957,1,completa
No Regrets,,,1,titulo
Nobody Else but Me,,,1,titulo
Not Like This,,,1,titulo
Nothing’s Gonna Change My Love for You,Michael Masser / Gerry Goffin,1984,1,completa
Now’s the Time,Charlie Parker,1945,1,completa
Nuages,Django Reinhardt,1940,1,completa
O Grande Amor,Antonio Carlos Jobim / Vinicius DeMoraes,1963,1,completa
Oblivion,Ástor Piazzolla,1982,1,completa
Ode To A Flugelhorn,Clark Terry,1965,1,completa
Offshore,Booker Little,,1,completa
Old Devil Moon,,,1,titulo
Old Fashioned Love,James P. Johnson / Cecil Mack,1923,1,completa
Old Folks,,,1,titulo
Oleo,Sonny Rollins,1954,1,completa
On a Clear Day (You Can See Forever),,,1,titulo
On a Slow Boat to China,,,1,titulo
On Green Dolphin Street,,,1,titulo
On The Atchison Topeka And The Santa Fe,Harry Warren / Johnny Mercer,1945,1,completa
On the Street Where You Live,Frederick Loewe / Alan Jay Lerner,1956,1,completa
On The Sunny Side Of The Street,Jimmy McHugh / Dorothy Fields,1930,1,completa
Once I Loved (O Amor Em Paz),Antônio Carlos Jobim / Vinícius de Moraes / Ray Gilbert,1960,1,completa
Once in a While,Michael Edwards / Bud Green,1937,1,completa
One Note Samba,Antônio Carlos Jobim / Newton Mendonça / Jon Hendricks,1960,1,completa
Only Trust Your Heart,Benny Carter / Sammy Cahn,1964,1,completa
Only You,,,1,titulo
Opus One,Sy Oliver / Sid Garris,1943,1,completa
Out Of Nowhere,Johnny Green / Edward Heyman,1931,1,completa
Over The Rainbow,Harold Arlen / E.Y. Harburg,1939,1,completa
Padam Padam (Edith Piaf),Norbert Glanzberg / Henri Contet,1951,1,completa
Palm Springs Jump,Slim Gaillard,1942,1,completa
Parisian Thoroughfare,Earl “Bud” Powell,1951,1,completa
Park Avenue Petite,,,1,titulo
"Paroles, paroles",,,1,titulo
Passion Flower,,,1,titulo
Peace,,,0,
Pee Wee,,,1,titulo
Pennies from Heaven,,,1,titulo
Pensativa,,,1,titulo
Perdido,Juan Tizol / Ervin Drake / Hans Lengsfelder,1941,1,completa
Perfidia – (Вернись),Alberto Domínguez / Г. Регистан,,1,completa
"Perhaps, Perhaps, Perhaps",Osvaldo Farrés,1947,1,completa
Песенка про водевиль,М. Дунаевский / Л. Дербенёв,,1,completa
Petit Fleur,Sidney Bechet,1952,1,completa
Please Don’t Talk About Me When I’m Gone,,,1,titulo
Poinciana,Nat Simon / Buddy Bernier,1936,1,completa
Polka Dots and Moonbeams,,,1,titulo
Por una Cabeza,Carlos Gardel / Alfredo Le Pera,1935,1,completa
Portrait of Jennie,,,1,titulo
Potato Chips,Slim Gaillard,,1,completa
Prelude in E Minor,,,1,titulo
Prelude to a Kiss,Duke Ellington / Irving Gordon / Irving Mills,1938,1,completa
Prince Albert,Kenny Dorham,1955,1,completa
Prisoner Of Love,Russ Columbo / Clarence Gaskill / Leo Robin,1931,1,completa
Put on a Happy Face,,,1,titulo
Puttin on the Ritz,Irving Berlin,1927,1,completa
"Quando, Quando, Quando",Tony Renis / Alberto Testa,1962,1,completa
Quasimodo,,,1,titulo
Rag Mop,Johnnie Lee Wills / Deacon Anderson,1949,1,completa
Ray’s Idea,Raymond Brown / Walter Fuller,,1,completa
Recado Bossa Nova (The Gift),,,1,titulo
Red Roses for a Blue Lady,Sid Tepper / C. Bennett,1948,1,completa
Reflections,,,1,titulo
Right Or Wrong,Arthur Sizemore /Paul Biese / Haven Gillespie,1921,1,completa
Robbin’s Nest,Illinois Jacques / Sir Charles Thompson,1947,1,completa
Rose Room,Art Hickman / Harry Williams,1917,1,completa
Rosetta,Earl Hines / Henri Wood,1933,1,completa
Round Midnight,Thelonius Monk / Bernie Hanighen,1943,1,completa
Route 66,Bobby Troup,1946,1,completa
Royal garden blues,Clarence Williams / Spencer Williams,1919,1,completa
