Titulo,Autor,Ano
On the Street Where You Live,Frederick Loewe / Alan Jay Lerner,1956
On The Sunny Side Of The Street,Jimmy McHugh / Dorothy Fields,1930
Once I Loved (O Amor Em Paz),Antônio Carlos Jobim / Vinícius de Moraes / Ray Gilbert,1960
Once in a While,Michael Edwards / Bud Green,1937
One Note Samba,Antônio Carlos Jobim / Newton Mendonça / Jon Hendricks,1960
Only Trust Your Heart,Benny Carter / Sammy Cahn,1964
Only You,,
Opus One,Sy Oliver / Sid Garris,1943
Out Of Nowhere,Johnny Green / Edward Heyman,1931
Over The Rainbow,Harold Arlen / E.Y. Harburg,1939
Padam Padam (Edith Piaf),Norbert Glanzberg / Henri Contet,1951
Palm Springs Jump,Slim Gaillard,1942
Parisian Thoroughfare,Earl “Bud” Powell,1951
Park Avenue Petite,,
"Paroles, paroles",,
Passion Flower,,
Peace,,
Pee Wee,,
Pennies from Heaven,,
Pensativa,,
Perdido,Juan Tizol / Ervin Drake / Hans Lengsfelder,1941
Perfidia – (Вернись),Alberto Domínguez / Г. Регистан,
"Perhaps, Perhaps, Perhaps",Osvaldo Farrés,1947
Песенка про водевиль,М. Дунаевский / Л. Дербенёв,
Petit Fleur,Sidney Bechet,1952
Please Don’t Talk About Me When I’m Gone,,
Poinciana,Nat Simon / Buddy Bernier,1936
Polka Dots and Moonbeams,,
Por una Cabeza,Carlos Gardel / Alfredo Le Pera,1935
Portrait of Jennie,,
Potato Chips,Slim Gaillard,
Prelude in E Minor,,
Prelude to a Kiss,Duke Ellington / Irving Gordon / Irving Mills,1938
Prince Albert,Kenny Dorham,1955
Prisoner Of Love,Russ Columbo / Clarence Gaskill / Leo Robin,1931
Put on a Happy Face,,
Puttin on the Ritz,Irving Berlin,1927
"Quando, Quando, Quando",Tony Renis / Alberto Testa,1962
Quasimodo,,
Rag Mop,Johnnie Lee Wills / Deacon Anderson,1949
Ray’s Idea,Raymond Brown / Walter Fuller,
Recado Bossa Nova (The Gift),,
Red Roses for a Blue Lady,Sid Tepper / C. Bennett,1948
Reflections,,
Right Or Wrong,Arthur Sizemore /Paul Biese / Haven Gillespie,1921
Robbin’s Nest,Illinois Jacques / Sir Charles Thompson,1947
Rose Room,Art Hickman / Harry Williams,1917
Rosetta,Earl Hines / Henri Wood,1933
Round Midnight,Thelonius Monk / Bernie Hanighen,1943
Route 66,Bobby Troup,1946
Royal garden blues,Clarence Williams / Spencer Williams,1919
"Ruby, My Dear",Thelonious Monk,1945
Russian Lullaby,Irving Berlin,1927
Salute To Bandbox,Gigi Gryce / Clifford Brown,1958
Samba De Orfeu,Luiz Bonfá,1959
Samba do Avião,,
Santa Claus Is Comin’ to Town,,
Satin Doll,Duke Ellington / Billy Strayhorn /Johnny Mercer,1953
Scotch and Soda,Dave Guard,1958
Scrapple from the Apple,Charlie Parker,1947
Second Line Parade,Traditional,
Sent For You Yesterday,William ‘Count’ Basie / Eddie Durham / James Andrew Rushing,1938
